"Nucleon_Value","Match_Type","Source_Section","Source_ID","Source_Name","Source_Parameter","Target_Parameter","Target_Name","Target_ID","Target_Section"
1000,"SAME_PARAM","Octet I",16,"{A, T}","Protons","Protons","{A, G}",17,"Octet I"
1000,"SAME_PARAM","Octet I",16,"{A, T}","Protons","Protons","{C, T}",18,"Octet I"
1000,"SAME_PARAM","Octet I",17,"{A, G}","Protons","Protons","{C, T}",18,"Octet I"
1072,"SAME_PARAM","Octet II",26,"{A, C}","Protons","Protons","{A, T}",27,"Octet II"
1098,"SAME_PARAM","All code",8,"{C}","Protons","Protons","{T}",10,"All code"
1108,"SAME_PARAM","Octet II",24,"{G, T}","Protons","Protons","{C, G}",25,"Octet II"
1123,"SAME_PARAM","Octet II",30,"{C}","Total_Nucleons","Total_Nucleons","{T}",32,"Octet II"
1776,"SAME_PARAM","All code",4,"Amino: {A, C}","Neutrons","Neutrons","Weak: {A, T}",5,"All code"
1813,"SAME_PARAM","All code",2,"Keto: {G, T}","Neutrons","Neutrons","Strong: {C, G}",3,"All code"
1850,"SAME_PARAM","Octet I",13,"{G, T}","Total_Nucleons","Total_Nucleons","{C, G}",14,"Octet I"
1850,"SAME_PARAM","Octet I",13,"{G, T}","Total_Nucleons","Total_Nucleons","{A, C}",15,"Octet I"
1850,"SAME_PARAM","Octet I",13,"{G, T}","Total_Nucleons","Total_Nucleons","{A, T}",16,"Octet I"
1850,"SAME_PARAM","Octet I",13,"{G, T}","Total_Nucleons","Total_Nucleons","{A, G}",17,"Octet I"
1850,"SAME_PARAM","Octet I",13,"{G, T}","Total_Nucleons","Total_Nucleons","{C, T}",18,"Octet I"
1850,"SAME_PARAM","Octet I",14,"{C, G}","Total_Nucleons","Total_Nucleons","{A, C}",15,"Octet I"
1850,"SAME_PARAM","Octet I",14,"{C, G}","Total_Nucleons","Total_Nucleons","{A, T}",16,"Octet I"
1850,"SAME_PARAM","Octet I",14,"{C, G}","Total_Nucleons","Total_Nucleons","{A, G}",17,"Octet I"
1850,"SAME_PARAM","Octet I",14,"{C, G}","Total_Nucleons","Total_Nucleons","{C, T}",18,"Octet I"
1850,"SAME_PARAM","Octet I",15,"{A, C}","Total_Nucleons","Total_Nucleons","{A, T}",16,"Octet I"
1850,"SAME_PARAM","Octet I",15,"{A, C}","Total_Nucleons","Total_Nucleons","{A, G}",17,"Octet I"
1850,"SAME_PARAM","Octet I",15,"{A, C}","Total_Nucleons","Total_Nucleons","{C, T}",18,"Octet I"
1850,"SAME_PARAM","Octet I",16,"{A, T}","Total_Nucleons","Total_Nucleons","{A, G}",17,"Octet I"
1850,"SAME_PARAM","Octet I",16,"{A, T}","Total_Nucleons","Total_Nucleons","{C, T}",18,"Octet I"
1850,"SAME_PARAM","Octet I",17,"{A, G}","Total_Nucleons","Total_Nucleons","{C, T}",18,"Octet I"
1998,"SAME_PARAM","Octet II",26,"{A, C}","Total_Nucleons","Total_Nucleons","{A, T}",27,"Octet II"
2048,"SAME_PARAM","All code",8,"{C}","Total_Nucleons","Total_Nucleons","{T}",10,"All code"
2071,"SAME_PARAM","Octet II",24,"{G, T}","Total_Nucleons","Total_Nucleons","{C, G}",25,"Octet II"
2072,"SAME_PARAM","All code",4,"Amino: {A, C}","Protons","Protons","Weak: {A, T}",5,"All code"
2108,"SAME_PARAM","All code",2,"Keto: {G, T}","Protons","Protons","Strong: {C, G}",3,"All code"
3848,"SAME_PARAM","All code",4,"Amino: {A, C}","Total_Nucleons","Total_Nucleons","Weak: {A, T}",5,"All code"
3921,"SAME_PARAM","All code",2,"Keto: {G, T}","Total_Nucleons","Total_Nucleons","Strong: {C, G}",3,"All code"
